,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
35,Honda Amaze - 2016,PLATINUM,Pune,"₹5,31,399","35,353 kms ", Petrol , 2nd Owner, 2016,Honda
36,Hyundai EON Magna Plus - 2017,PLATINUM,Pune,"₹3,67,299","34,748 kms ", Petrol , 2nd Owner, 2017,Hyundai
37,Maruti Suzuki Alto Lxi - 2020,PLATINUM,Pune,"₹4,12,199","2,359 kms ", Petrol , 2nd Owner, 2020,Maruti
38,Hyundai Creta S CRDi - 2020,PLATINUM,Pune,"₹14,60,099","17,814 kms ", Diesel , 2nd Owner, 2020,Hyundai
39,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹6,18,699","68,934 kms ", Petrol , 2nd Owner, 2018,Maruti
40,Hyundai i20 Asta 1.2 - 2014,GOLD,Bangalore,"₹4,85,000","72,600 kms ", Petrol , 2nd Owner, 2014,Hyundai
41,BMW 3 Series 320d Corporate Edition - 2010,GOLD,Chennai,"₹8,90,000","81,000 kms ", Diesel,, 2010,BMW
42,Nissan Micra XV Diesel - 2012,GOLD,Chennai,"₹2,45,000","80,000 kms ", Diesel , 1st Owner, 2012,Nissan
43,Toyota Glanza V CVT - 2020,GOLD,Bangalore,"₹9,45,000","12,000 kms ", Petrol,, 2020,Toyota
44,Maruti Suzuki Swift LXi 1.2 BS IV - 2016,GOLD,Bangalore,"₹5,90,000","6,000 kms ", Petrol,, 2016,Maruti
45,Honda Brio S MT - 2017,GOLD,Bangalore,"₹4,95,000","56,000 kms ", Petrol,, 2017,Honda
46,Maruti Suzuki Wagon R VXi BS III - 2017,GOLD,Bangalore,"₹4,75,000","56,000 kms ", Petrol,, 2017,Maruti
47,MG Motors Hector - 2020,GOLD,Chennai,"₹12,00,000","36,000 kms ", Diesel , 1st Owner, 2020,MG
48,Maruti Suzuki Wagon R 1.0 Vxi - 2017,PLATINUM,Pune,"₹4,90,199","15,840 kms ", Petrol , 2nd Owner, 2017,Maruti
49,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹6,18,699","68,934 kms ", Petrol , 2nd Owner, 2018,Maruti
50,Maruti Suzuki Vitara Brezza Zdi Plus - 2017,PLATINUM,Pune,"₹9,20,999","32,482 kms ", Diesel , 2nd Owner, 2017,Maruti
51,Honda City - 2014,PLATINUM,Pune,"₹5,54,399","1,13,779 kms ", Diesel , 2nd Owner, 2014,Honda
52,Maruti Suzuki Wagon R 1.0 Lxi - 2017,PLATINUM,Pune,"₹4,08,999","26,150 kms ", Petrol , 2nd Owner, 2017,Maruti
53,Mahindra XUV 500 - 2018,PLATINUM,Pune,"₹12,48,299","34,555 kms ", Diesel , 2nd Owner, 2018,Mahindra
54,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹6,36,099","30,880 kms ", Petrol , 1st Owner, 2018,Maruti
55,Hyundai i20 Asta 1.2 - 2013,PLATINUM,Pune,"₹4,52,699","70,423 kms ", Petrol , 1st Owner, 2013,Hyundai
56,Hyundai Elite i20 - 2018,PLATINUM,Pune,"₹7,04,399","30,232 kms ", Diesel , 2nd Owner, 2018,Hyundai
57,Volkswagen Polo - 2016,PLATINUM,Pune,"₹5,53,599","50,077 kms ", Petrol , 2nd Owner, 2016,Volkswagen
58,Ford Ecosport - 2018,PLATINUM,Pune,"₹9,99,599","18,482 kms ", Diesel , 2nd Owner, 2018,Ford
59,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹6,84,699","10,246 kms ", Petrol , 2nd Owner, 2018,Maruti
60,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹6,20,399","25,021 kms ", Petrol , 2nd Owner, 2016,Maruti
61,Hyundai Elite i20 Asta 1.2 - 2014,PLATINUM,Pune,"₹5,49,899","70,646 kms ", Petrol , 2nd Owner, 2014,Hyundai
62,Maruti Suzuki Vitara Brezza - 2018,PLATINUM,Pune,"₹8,12,899","45,490 kms ", Diesel , 2nd Owner, 2018,Maruti
63,Ford Ecosport - 2016,PLATINUM,Chennai,"₹6,56,699","53,306 kms ", Diesel , 2nd Owner, 2016,Ford
64,Hyundai Creta 1.6 CRDI SX PLUS AUTO - 2019,GOLD,Chennai,"₹7,25,000","58,460 kms ", Diesel , 1st Owner, 2019,Hyundai
65,Hyundai Venue - 2019,GOLD,Chennai,"₹6,00,000","29,000 kms ", Diesel , 1st Owner, 2019,Hyundai
66,Volvo XC90 D5 AWD - 2016,GOLD,Chennai,"₹37,00,000","1,10,000 kms ", Diesel,, 2016,Volvo
67,Mahindra XUV 500 W8 - 2013,GOLD,Chennai,"₹7,35,000","95,000 kms ", Diesel,, 2013,Mahindra
68,Toyota Fortuner 3.0 4x2 MT - 2012,GOLD,Chennai,"₹13,50,000","1,70,000 kms ", Diesel,, 2012,Toyota
69,Honda Jazz VX MT - 2013,GOLD,Pune,"₹3,65,000","80,000 kms ", Petrol,, 2013,Honda
70,Hyundai i10 Asta 1.2 Kappa2 - 2011,GOLD,Pune,"₹2,80,000","58,000 kms ", Petrol,, 2011,Hyundai
71,Tata Nexon XM Diesel - 2019,GOLD,Pune,"₹8,40,000","22,000 kms ", Diesel,, 2019,Tata
72,Hyundai Creta 1.6 SX Plus Petrol - 2017,PLATINUM,Pune,"₹8,18,599","69,215 kms ", Petrol , 1st Owner, 2017,Hyundai
73,Hyundai Verna 1.6 SX VTVT - 2018,PLATINUM,Pune,"₹8,62,399","33,340 kms ", Petrol , 1st Owner, 2018,Hyundai
74,Renault Triber - 2019,PLATINUM,Pune,"₹6,73,599","9,783 kms ", Petrol , 2nd Owner, 2019,Renault
75,Hyundai Santro Sportz 1.1L - 2018,PLATINUM,Pune,"₹5,28,899","15,110 kms ", Petrol , 2nd Owner, 2018,Hyundai
76,Maruti Suzuki S Presso VXi Plus - 2021,PLATINUM,Pune,"₹5,27,999","3,399 kms ", Petrol , 2nd Owner, 2021,Maruti
77,Mahindra XUV 500 - 2013,PLATINUM,Pune,"₹7,91,699","89,310 kms ", Diesel , 1st Owner, 2013,Mahindra
78,Maruti Suzuki Wagon R 1.0 Vxi - 2015,PLATINUM,Chennai,"₹3,92,999","53,148 kms ", Petrol , 1st Owner, 2015,Maruti
79,Honda City VX CVT Petrol - 2015,PLATINUM,Pune,"₹6,90,199","42,020 kms ", Petrol , 1st Owner, 2015,Honda
80,Maruti Suzuki Swift Dzire Vdi BS IV - 2013,PLATINUM,Pune,"₹4,74,699","74,594 kms ", Diesel , 2nd Owner, 2013,Maruti
81,MG Motors Hector - 2021,PLATINUM,Pune,"₹20,19,899","6,110 kms ", Petrol , 2nd Owner, 2021,MG
82,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2017,PLATINUM,Pune,"₹5,62,299","24,346 kms ", Petrol , 2nd Owner, 2017,Hyundai
83,Jeep Compass - 2017,PLATINUM,Pune,"₹14,00,999","65,668 kms ", Diesel , 1st Owner, 2017,Jeep
84,Renault Kwid - 2018,PLATINUM,Pune,"₹4,47,599","48,644 kms ", Petrol , 2nd Owner, 2018,Renault
85,Toyota Innova Crysta 2.4 VX 7 STR - 2018,PLATINUM,Pune,"₹18,14,599","36,877 kms ", Diesel , 2nd Owner, 2018,Toyota
86,Tata Nexon - 2018,PLATINUM,Pune,"₹9,20,399","79,673 kms ", Diesel , 2nd Owner, 2018,Tata
87,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2014,PLATINUM,Pune,"₹4,47,599","54,352 kms ", Petrol , 2nd Owner, 2014,Maruti
88,Tata Zest XMS Diesel - 2016,GOLD,Pune,"₹3,90,000","64,000 kms ", Diesel,, 2016,Tata
89,Ford Freestyle TITANIUM 1.2 TI VCT MT - 2018,GOLD,Kanchipuram,"₹6,50,000","54,000 kms ", Diesel,, 2018,Ford
90,Maruti Suzuki Swift ZXI ABS - 2017,GOLD,Chennai,"₹5,75,000","40,000 kms ", Petrol,, 2017,Maruti
91,Mahindra Xylo - 2015,GOLD,Kozhikode,"₹5,25,000","1,07,000 kms ", Diesel , 1st Owner, 2015,Mahindra
92,Mahindra Xylo - 2015,GOLD,Kozhikode,"₹5,25,000","1,07,000 kms ", Diesel , 2nd Owner, 2015,Mahindra
93,BMW 5 Series 530d - 2011,GOLD,Kolkata,"₹10,00,000","38,000 kms ", Diesel,, 2011,BMW
94,Hyundai i20 Magna 1.2 - 2010,GOLD,Bangalore,"₹3,25,000","86,000 kms ", Petrol,, 2010,Hyundai
95,Jeep Compass Limited 2.0 Diesel 4x4 - 2021,GOLD,Mumbai,"₹30,00,000","10,000 kms ", Diesel,, 2021,Jeep
96,Maruti Suzuki Alto K10 Vxi - 2017,PLATINUM,Pune,"₹3,43,299","48,658 kms ", Petrol , 2nd Owner, 2017,Maruti
97,MG Motors Hector - 2020,PLATINUM,Pune,"₹17,11,499","11,998 kms ", Petrol , 2nd Owner, 2020,MG
98,Maruti Suzuki Vitara Brezza Zdi Plus - 2018,PLATINUM,Pune,"₹9,18,799","32,513 kms ", Diesel , 2nd Owner, 2018,Maruti
99,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2016,PLATINUM,Pune,"₹5,26,399","21,372 kms ", Petrol , 2nd Owner, 2016,Hyundai
100,Volkswagen Vento - 2017,PLATINUM,Pune,"₹8,81,099","34,178 kms ", Petrol , 1st Owner, 2017,Volkswagen
101,Kia Seltos - 2019,PLATINUM,Pune,"₹17,64,199","20,547 kms ", Petrol , 2nd Owner, 2019,Kia
102,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹6,39,199","34,731 kms ", Petrol , 2nd Owner, 2016,Maruti
103,Hyundai Grand i10 - 2016,PLATINUM,Pune,"₹5,22,999","30,536 kms ", Petrol , 1st Owner, 2016,Hyundai
104,MG Motors Hector Sharp 2.0 Diesel - 2019,PLATINUM,Bangalore,"₹19,17,599","10,205 kms ", Diesel , 2nd Owner, 2019,MG
105,Maruti Suzuki Wagon R 1.0 Vxi - 2017,PLATINUM,Pune,"₹4,66,599","25,483 kms ", Petrol , 2nd Owner, 2017,Maruti
106,Toyota Corolla Altis VL AT - 2017,PLATINUM,Pune,"₹13,97,699","39,113 kms ", Petrol , 2nd Owner, 2017,Toyota
107,Maruti Suzuki Ignis - 2017,PLATINUM,Pune,"₹5,04,399","43,152 kms ", Petrol , 2nd Owner, 2017,Maruti
108,MG Motors Hector - 2020,PLATINUM,Pune,"₹19,20,399","5,325 kms ", Petrol , 2nd Owner, 2020,MG
109,Ford Ecosport - 2018,PLATINUM,Pune,"₹9,17,599","44,705 kms ", Petrol , 2nd Owner, 2018,Ford
110,Toyota Etios - 2011,PLATINUM,Pune,"₹3,19,099","70,022 kms ", Petrol , 2nd Owner, 2011,Toyota
111,Maruti Suzuki Celerio Vxi O AMT - 2017,PLATINUM,Pune,"₹4,84,399","47,435 kms ", Petrol , 2nd Owner, 2017,Maruti
112,Volkswagen Polo HIGHLINE1.2L PETROL - 2010,GOLD,Chennai,"₹2,90,000","89,000 kms ", Petrol,, 2010,Volkswagen
113,Mahindra Thar DI 4WD - 2021,GOLD,Chennai,"₹17,90,000","9,826 kms ", Petrol,, 2021,Mahindra
114,Ford EcoSport Trend 1.5 Ti VCT - 2017,GOLD,Chennai,"₹6,50,000","83,000 kms ", Diesel,, 2017,Ford
115,Honda City 1.5 S Elegance - 2001,GOLD,Lucknow,"₹73,000","1,95,000 kms ", Petrol , 2nd Owner, 2001,Honda
116,Toyota Innova Crysta 2.4 ZX 7 STR - 2019,GOLD,Chennai,"₹22,00,000","35,000 kms ", Diesel,, 2019,Toyota
117,Hyundai Verna 1.6 SX VTVT O AT - 2022,GOLD,Coimbatore,"₹15,50,000","13,000 kms ", Petrol , 1st Owner, 2022,Hyundai
118,Mahindra e2o T2 - 2016,GOLD,Bangalore,"₹4,20,000","46,000 kms ", Electric , 1st Owner, 2016,Mahindra
119,Toyota Fortuner 4x4 MT TRD Sportivo - 2015,GOLD,Kolkata,"₹15,95,000","72,000 kms ", Diesel , 1st Owner, 2015,Toyota
120,Hyundai Xcent - 2016,PLATINUM,Pune,"₹5,73,499","29,026 kms ", Petrol , 2nd Owner, 2016,Hyundai
121,Hyundai Creta 1.6 SX Plus Petrol - 2015,PLATINUM,Pune,"₹8,79,199","59,258 kms ", Petrol , 2nd Owner, 2015,Hyundai
122,Mahindra XUV 500 - 2014,PLATINUM,Pune,"₹7,33,399","1,20,399 kms ", Diesel , 1st Owner, 2014,Mahindra
123,Maruti Suzuki Vitara Brezza Zdi Plus - 2018,PLATINUM,Pune,"₹9,67,599","28,853 kms ", Diesel , 2nd Owner, 2018,Maruti
124,Honda City - 2020,PLATINUM,Pune,"₹15,39,299","9,811 kms ", Petrol , 2nd Owner, 2020,Honda
125,Hyundai i20 Active 1.2 S - 2015,PLATINUM,Pune,"₹5,61,499","43,538 kms ", Petrol , 2nd Owner, 2015,Hyundai
126,Hyundai Creta - 2017,PLATINUM,Pune,"₹10,42,699","66,400 kms ", Petrol , 2nd Owner, 2017,Hyundai
127,Maruti Suzuki S Cross - 2017,PLATINUM,Pune,"₹10,32,099","59,341 kms ", Diesel , 2nd Owner, 2017,Maruti
128,Hyundai Creta - 2016,PLATINUM,Pune,"₹9,03,499","56,246 kms ", Petrol , 2nd Owner, 2016,Hyundai
129,Honda Amaze - 2014,PLATINUM,Pune,"₹4,72,499","35,944 kms ", Petrol , 2nd Owner, 2014,Honda
130,Honda WR V - 2018,PLATINUM,Pune,"₹7,71,299","17,699 kms ", Petrol , 2nd Owner, 2018,Honda
131,Maruti Suzuki Wagon R 1.0 Vxi - 2017,PLATINUM,Pune,"₹4,47,099","41,065 kms ", Petrol , 2nd Owner, 2017,Maruti
132,Renault Kwid - 2019,PLATINUM,Pune,"₹5,04,599","2,311 kms ", Petrol , 2nd Owner, 2019,Renault
133,Hyundai Grand i10 - 2018,PLATINUM,Pune,"₹6,20,999","2,991 kms ", Petrol , 2nd Owner, 2018,Hyundai
134,Hyundai Grand i10 Magna 1.2 Kappa VTVT - 2015,PLATINUM,Pune,"₹4,33,999","29,762 kms ", Petrol , 2nd Owner, 2015,Hyundai
135,Skoda Rapid - 2016,PLATINUM,Pune,"₹6,27,499","91,917 kms ", Diesel , 2nd Owner, 2016,Skoda
136,Maruti Suzuki Swift Dzire ZDi - 2014,GOLD,Delhi,"₹3,60,000",0 kms , Diesel,, 2014,Maruti
137,Toyota Fortuner 3.0 4x4 MT - 2012,GOLD,Bangalore,"₹13,75,000","1,31,000 kms ", Diesel,, 2012,Toyota
138,Maruti Suzuki 800 - 2000,GOLD,Chennai,"₹69,000","85,000 kms ", Petrol,, 2000,Maruti
139,Tata Nano - 2011,GOLD,Chennai,"₹89,000","37,000 kms ", Petrol,, 2011,Tata
140,Tata Indica - 2011,GOLD,Chennai,"₹89,000","67,000 kms ", Diesel,, 2011,Tata
141,Audi Q7 3.0 TDI quattro Premium Plus - 2013,GOLD,Mumbai,"₹22,00,000","1,20,000 kms ", Diesel,, 2013,Audi
142,Jaguar XJ L 3.0 Diesel - 2016,GOLD,Mumbai,"₹44,25,000","71,000 kms ", Diesel,, 2016,Jaguar
143,Mercedes Benz GL Class 350 CDI - 2016,GOLD,Mumbai,"₹44,50,000","1,05,000 kms ", Diesel,, 2016,Mercedes
144,Renault Kwid - 2019,PLATINUM,Pune,"₹5,04,599","2,311 kms ", Petrol , 2nd Owner, 2019,Renault
145,Maruti Suzuki Dzire Vxi - 2018,PLATINUM,Pune,"₹7,04,199","30,771 kms ", Petrol , 2nd Owner, 2018,Maruti
146,Hyundai Santro Sportz 1.1L - 2018,PLATINUM,Pune,"₹5,13,099","29,488 kms ", Petrol , 2nd Owner, 2018,Hyundai
147,Renault Kwid - 2019,PLATINUM,Pune,"₹4,69,399","36,559 kms ", Petrol , 2nd Owner, 2019,Renault
148,Honda WR V - 2018,PLATINUM,Pune,"₹8,44,199","38,242 kms ", Diesel , 2nd Owner, 2018,Honda
149,Maruti Suzuki Ignis - 2017,PLATINUM,Pune,"₹5,44,799","66,426 kms ", Petrol , 1st Owner, 2017,Maruti
150,Volkswagen Polo - 2018,PLATINUM,Pune,"₹7,10,899","16,950 kms ", Petrol , 2nd Owner, 2018,Volkswagen
151,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹5,80,599","18,866 kms ", Petrol , 2nd Owner, 2016,Maruti
152,Maruti Suzuki Swift - 2017,PLATINUM,Pune,"₹6,38,499","53,245 kms ", Diesel , 1st Owner, 2017,Maruti
153,Hyundai Verna - 2016,PLATINUM,Pune,"₹6,54,699","44,543 kms ", Petrol , 1st Owner, 2016,Hyundai
154,Maruti Suzuki S Cross - 2018,PLATINUM,Pune,"₹8,94,199","50,128 kms ", Diesel , 1st Owner, 2018,Maruti
155,Maruti Suzuki S Cross - 2018,PLATINUM,Pune,"₹8,58,599","56,349 kms ", Diesel , 2nd Owner, 2018,Maruti
156,Maruti Suzuki S Cross - 2017,PLATINUM,Pune,"₹9,92,199","69,524 kms ", Diesel , 2nd Owner, 2017,Maruti
157,Volkswagen Polo - 2017,PLATINUM,Pune,"₹7,14,999","41,218 kms ", Petrol , 1st Owner, 2017,Volkswagen
158,Maruti Suzuki Baleno - 2020,PLATINUM,Pune,"₹7,65,599","9,085 kms ", Petrol , 1st Owner, 2020,Maruti
159,MG Motors Hector Sharp 2.0 Diesel - 2019,PLATINUM,Bangalore,"₹18,00,299","11,292 kms ", Diesel , 2nd Owner, 2019,MG
160,Mercedes Benz C Class 250 CDI Avantgarde - 2011,GOLD,Mumbai,"₹11,90,000","75,000 kms ", Diesel , 2nd Owner, 2011,Mercedes
161,Hyundai Creta 1.6 SX O CRDI - 2018,GOLD,Hyderabad,"₹14,52,000","28,000 kms ", Diesel,, 2018,Hyundai
162,Skoda Rapid Style 1.5 TDI - 2018,GOLD,Hyderabad,"₹10,26,000","48,000 kms ", Diesel,, 2018,Skoda
163,Maruti Suzuki Ertiga VDI SHVS LIMITED EDITION - 2017,GOLD,Hyderabad,"₹8,21,000","51,000 kms ", Diesel,, 2017,Maruti
164,Hyundai Grand i10 Asta 1.2 Kappa VTVT - 2020,GOLD,Chennai,"₹7,25,000","24,990 kms ", Petrol,, 2020,Hyundai
165,Maruti Suzuki Ertiga ZDi - 2015,GOLD,Delhi,"₹6,00,000","48,600 kms ", Diesel , 1st Owner, 2015,Maruti
166,Maruti Suzuki Alto 800 Lxi - 2019,GOLD,Delhi,"₹3,36,000","3,600 kms ", Petrol , 1st Owner, 2019,Maruti
167,Tata Indigo eCS LX CR4 BS IV - 2012,GOLD,Nanded,"₹2,00,000","1,15,000 kms ", Diesel,, 2012,Tata
168,Maruti Suzuki Dzire Vxi - 2019,PLATINUM,Pune,"₹6,80,699","29,594 kms ", Petrol , 2nd Owner, 2019,Maruti
169,Honda City VX MT Petrol - 2015,PLATINUM,Pune,"₹7,14,899","55,953 kms ", Petrol , 1st Owner, 2015,Honda
170,Maruti Suzuki Alto 800 Lxi - 2016,PLATINUM,Pune,"₹3,16,799","16,980 kms ", Petrol , 1st Owner, 2016,Maruti
171,Ford Ecosport - 2016,PLATINUM,Pune,"₹6,75,099","41,828 kms ", Diesel , 2nd Owner, 2016,Ford
172,Maruti Suzuki S Cross - 2018,PLATINUM,Pune,"₹10,57,399","64,803 kms ", Diesel , 2nd Owner, 2018,Maruti
173,Maruti Suzuki Ertiga VDi SHVS - 2018,PLATINUM,Pune,"₹9,38,099","44,460 kms ", Diesel , 2nd Owner, 2018,Maruti
174,Tata Nexon - 2018,PLATINUM,Pune,"₹10,57,699","14,276 kms ", Diesel , 2nd Owner, 2018,Tata
175,Maruti Suzuki Wagon R - 2019,PLATINUM,Pune,"₹6,10,099","23,425 kms ", Petrol , 2nd Owner, 2019,Maruti
176,Maruti Suzuki Alto K10 Vxi O AMT - 2018,PLATINUM,Pune,"₹4,52,199","23,056 kms ", Petrol , 2nd Owner, 2018,Maruti
177,Hyundai Elite i20 - 2019,PLATINUM,Pune,"₹7,12,699","16,102 kms ", Petrol , 2nd Owner, 2019,Hyundai
178,Maruti Suzuki Vitara Brezza VDi - 2019,PLATINUM,Pune,"₹8,38,699","56,615 kms ", Diesel , 1st Owner, 2019,Maruti
179,Mahindra TUV300 - 2015,PLATINUM,Pune,"₹6,66,899","70,317 kms ", Diesel , 1st Owner, 2015,Mahindra
180,MG Motors Hector - 2020,PLATINUM,Bangalore,"₹16,81,899","6,760 kms ", Petrol , 2nd Owner, 2020,MG
181,MG Motors Hector - 2020,PLATINUM,Chennai,"₹18,54,599","8,870 kms ", Petrol , 2nd Owner, 2020,MG
182,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹5,71,499","78,209 kms ", Petrol , 1st Owner, 2016,Maruti
183,Volkswagen Vento - 2015,PLATINUM,Pune,"₹5,89,199","64,292 kms ", Petrol , 2nd Owner, 2015,Volkswagen
184,Toyota Innova Crysta Touring Sport Diesel MT - 2020,GOLD,Chennai,"₹23,50,000","57,000 kms ", Diesel,, 2020,Toyota
185,Toyota Fortuner - 2019,GOLD,Chennai,"₹36,50,000","42,000 kms ", Diesel,, 2019,Toyota
186,Toyota Innova 2.5 G 8 STR BS III - 2011,GOLD,Hyderabad,"₹4,45,000","1,41,000 kms ", Diesel,, 2011,Toyota
187,Ssangyong Rexton RX7 - 2017,GOLD,Malappuram,"₹12,31,000","82,000 kms ", Diesel,, 2017,Ssangyong
188,Toyota Fortuner 3.0 4x2 MT - 2012,GOLD,Chandigarh,"₹12,31,000","1,17,000 kms ", Diesel , 2nd Owner, 2012,Toyota
189,Mahindra TUV300 T8 - 2015,GOLD,Chennai,"₹6,00,000","70,000 kms ", Diesel,, 2015,Mahindra
190,Hyundai i20 Magna 1.4 CRDi Diesel - 2011,GOLD,Bangalore,"₹3,20,000","89,450 kms ", Diesel , 2nd Owner, 2011,Hyundai
191,Maruti Suzuki Ertiga ZXI Plus SHVS - 2020,GOLD,Madurai,"₹11,75,000","29,000 kms ", Petrol,, 2020,Maruti
192,Maruti Suzuki Alto K10 VXi AMT - 2015,PLATINUM,Pune,"₹3,51,699","58,771 kms ", Petrol , 2nd Owner, 2015,Maruti
193,Maruti Suzuki Alto K10 Vxi - 2016,PLATINUM,Pune,"₹2,99,199","53,266 kms ", Petrol , 2nd Owner, 2016,Maruti
194,Honda Amaze - 2019,PLATINUM,Pune,"₹6,57,199","9,200 kms ", Petrol , 2nd Owner, 2019,Honda
195,Ford Ecosport - 2014,PLATINUM,Pune,"₹5,39,299","61,721 kms ", Petrol , 2nd Owner, 2014,Ford
196,Hyundai Grand i10 - 2017,PLATINUM,Pune,"₹6,08,399","18,333 kms ", Petrol , 2nd Owner, 2017,Hyundai
197,Ford Ecosport - 2019,PLATINUM,Pune,"₹10,42,799","51,780 kms ", Petrol , 2nd Owner, 2019,Ford
